"","TrueNeg","FalseNeg","FalsePos","TruePos","Cutoff","sensitivity","specificity","FalsePosRate","PctCorrect"
"",170,78,0,0,Inf,0,1,0,0.685483870967742
"258",170,77,0,1,0.998754108228336,0.0128205128205128,1,0,0.689516129032258
"253",170,76,0,2,0.988272723689217,0.0256410256410256,1,0,0.693548387096774
"305",170,75,0,3,0.987923475936345,0.0384615384615385,1,0,0.69758064516129
"222",170,74,0,4,0.977741845045798,0.0512820512820513,1,0,0.701612903225806
"276",170,73,0,5,0.969747880887453,0.0641025641025641,1,0,0.705645161290323
"252",170,72,0,6,0.969112304619624,0.0769230769230769,1,0,0.709677419354839
"278",170,71,0,7,0.964975969875387,0.0897435897435897,1,0,0.713709677419355
"251",170,70,0,8,0.960365322721039,0.102564102564103,1,0,0.717741935483871
"226",170,69,0,9,0.953939219116979,0.115384615384615,1,0,0.721774193548387
"227",170,68,0,10,0.948824344381638,0.128205128205128,1,0,0.725806451612903
"8",169,68,1,10,0.944478808128649,0.128205128205128,0.994117647058824,0.00588235294117645,0.721774193548387
"265",169,67,1,11,0.93994425439233,0.141025641025641,0.994117647058824,0.00588235294117645,0.725806451612903
"230",169,66,1,12,0.936544344543728,0.153846153846154,0.994117647058824,0.00588235294117645,0.729838709677419
"295",169,65,1,13,0.927966209473982,0.166666666666667,0.994117647058824,0.00588235294117645,0.733870967741935
"238",169,64,1,14,0.925498644927277,0.179487179487179,0.994117647058824,0.00588235294117645,0.737903225806452
"271",169,63,1,15,0.924688848976974,0.192307692307692,0.994117647058824,0.00588235294117645,0.741935483870968
"236",169,62,1,16,0.923903719161654,0.205128205128205,0.994117647058824,0.00588235294117645,0.745967741935484
"240",169,61,1,17,0.919550137861171,0.217948717948718,0.994117647058824,0.00588235294117645,0.75
"274",169,60,1,18,0.910017559084933,0.230769230769231,0.994117647058824,0.00588235294117645,0.754032258064516
"215",169,59,1,19,0.909197854705993,0.243589743589744,0.994117647058824,0.00588235294117645,0.758064516129032
"234",169,58,1,20,0.90893207065193,0.256410256410256,0.994117647058824,0.00588235294117645,0.762096774193548
"261",169,57,1,21,0.907810495780038,0.269230769230769,0.994117647058824,0.00588235294117645,0.766129032258065
"304",169,56,1,22,0.906145521557752,0.282051282051282,0.994117647058824,0.00588235294117645,0.770161290322581
"243",169,55,1,23,0.904120273561859,0.294871794871795,0.994117647058824,0.00588235294117645,0.774193548387097
"296",169,54,1,24,0.903963632589461,0.307692307692308,0.994117647058824,0.00588235294117645,0.778225806451613
"266",169,53,1,25,0.89845835961075,0.320512820512821,0.994117647058824,0.00588235294117645,0.782258064516129
"217",169,52,1,26,0.895901887506902,0.333333333333333,0.994117647058824,0.00588235294117645,0.786290322580645
"286",169,51,1,27,0.879942240797623,0.346153846153846,0.994117647058824,0.00588235294117645,0.790322580645161
"262",169,50,1,28,0.879898199506381,0.358974358974359,0.994117647058824,0.00588235294117645,0.794354838709677
"231",169,49,1,29,0.879507611757228,0.371794871794872,0.994117647058824,0.00588235294117645,0.798387096774194
"289",169,48,1,30,0.877585977811651,0.384615384615385,0.994117647058824,0.00588235294117645,0.80241935483871
"293",169,47,1,31,0.87167558898246,0.397435897435897,0.994117647058824,0.00588235294117645,0.806451612903226
"264",169,46,1,32,0.871609154730644,0.41025641025641,0.994117647058824,0.00588235294117645,0.810483870967742
"301",169,45,1,33,0.864775604091846,0.423076923076923,0.994117647058824,0.00588235294117645,0.814516129032258
"299",169,44,1,34,0.859083281229233,0.435897435897436,0.994117647058824,0.00588235294117645,0.818548387096774
"225",169,43,1,35,0.85531663455398,0.448717948717949,0.994117647058824,0.00588235294117645,0.82258064516129
"268",169,42,1,36,0.848767470086906,0.461538461538462,0.994117647058824,0.00588235294117645,0.826612903225806
"246",169,41,1,37,0.843074251668912,0.474358974358974,0.994117647058824,0.00588235294117645,0.830645161290323
"237",169,40,1,38,0.843031228647439,0.487179487179487,0.994117647058824,0.00588235294117645,0.834677419354839
"290",169,39,1,39,0.834944223375807,0.5,0.994117647058824,0.00588235294117645,0.838709677419355
"260",169,38,1,40,0.832242833196274,0.512820512820513,0.994117647058824,0.00588235294117645,0.842741935483871
"255",169,37,1,41,0.824378943534683,0.525641025641026,0.994117647058824,0.00588235294117645,0.846774193548387
"244",169,36,1,42,0.820127081045027,0.538461538461538,0.994117647058824,0.00588235294117645,0.850806451612903
"45",168,36,2,42,0.819286165219883,0.538461538461538,0.988235294117647,0.0117647058823529,0.846774193548387
"308",168,35,2,43,0.802785509489731,0.551282051282051,0.988235294117647,0.0117647058823529,0.850806451612903
"241",168,34,2,44,0.796867896306848,0.564102564102564,0.988235294117647,0.0117647058823529,0.854838709677419
"86",167,34,3,44,0.7926966843953,0.564102564102564,0.982352941176471,0.0176470588235295,0.850806451612903
"309",167,33,3,45,0.788684937200189,0.576923076923077,0.982352941176471,0.0176470588235295,0.854838709677419
"69",166,33,4,45,0.768933244260378,0.576923076923077,0.976470588235294,0.0235294117647059,0.850806451612903
"11",165,33,5,45,0.762379154983147,0.576923076923077,0.970588235294118,0.0294117647058824,0.846774193548387
"27",164,33,6,45,0.754274601982006,0.576923076923077,0.964705882352941,0.0352941176470588,0.842741935483871
