"","TrueNeg","FalseNeg","FalsePos","TruePos","Cutoff","sensitivity","specificity","FalsePosRate","PctCorrect"
"239",167,50,1,30,0.842530909421908,0.375,0.994047619047619,0.00595238095238093,0.794354838709677
"86",166,50,2,30,0.841396718836195,0.375,0.988095238095238,0.0119047619047619,0.790322580645161
"65",165,50,3,30,0.834736539589322,0.375,0.982142857142857,0.0178571428571429,0.786290322580645
"216",165,49,3,31,0.83278956198588,0.3875,0.982142857142857,0.0178571428571429,0.790322580645161
"301",165,48,3,32,0.832409891413196,0.4,0.982142857142857,0.0178571428571429,0.794354838709677
"262",165,47,3,33,0.828780122992258,0.4125,0.982142857142857,0.0178571428571429,0.798387096774194
"260",165,46,3,34,0.82702353036219,0.425,0.982142857142857,0.0178571428571429,0.80241935483871
"241",165,45,3,35,0.825772150578398,0.4375,0.982142857142857,0.0178571428571429,0.806451612903226
"255",165,44,3,36,0.825346297984483,0.45,0.982142857142857,0.0178571428571429,0.810483870967742
"308",165,43,3,37,0.82387341504762,0.4625,0.982142857142857,0.0178571428571429,0.814516129032258
"286",165,42,3,38,0.823148960678778,0.475,0.982142857142857,0.0178571428571429,0.818548387096774
"218",165,41,3,39,0.814988136707831,0.4875,0.982142857142857,0.0178571428571429,0.82258064516129
"277",165,40,3,40,0.812024484674563,0.5,0.982142857142857,0.0178571428571429,0.826612903225806
"309",165,39,3,41,0.81146670268034,0.5125,0.982142857142857,0.0178571428571429,0.830645161290323
"267",165,38,3,42,0.808303103993617,0.525,0.982142857142857,0.0178571428571429,0.834677419354839
"224",165,37,3,43,0.804794263061326,0.5375,0.982142857142857,0.0178571428571429,0.838709677419355
"214",165,36,3,44,0.797919495849098,0.55,0.982142857142857,0.0178571428571429,0.842741935483871
"284",165,35,3,45,0.786198255246566,0.5625,0.982142857142857,0.0178571428571429,0.846774193548387
"310",165,34,3,46,0.782841384938435,0.575,0.982142857142857,0.0178571428571429,0.850806451612903
"213",165,33,3,47,0.781315685027235,0.5875,0.982142857142857,0.0178571428571429,0.854838709677419
"27",164,33,4,47,0.779256401650301,0.5875,0.976190476190476,0.0238095238095238,0.850806451612903
"285",164,32,4,48,0.764442569519896,0.6,0.976190476190476,0.0238095238095238,0.854838709677419
"302",164,31,4,49,0.763972740338881,0.6125,0.976190476190476,0.0238095238095238,0.858870967741935
"306",164,30,4,50,0.751032834765556,0.625,0.976190476190476,0.0238095238095238,0.862903225806452
"287",164,29,4,51,0.739795921393492,0.6375,0.976190476190476,0.0238095238095238,0.866935483870968
"282",164,28,4,52,0.737470919193718,0.65,0.976190476190476,0.0238095238095238,0.870967741935484
"11",163,28,5,52,0.735828389983804,0.65,0.970238095238095,0.0297619047619048,0.866935483870968
"69",162,28,6,52,0.734471901432049,0.65,0.964285714285714,0.0357142857142857,0.862903225806452
"297",162,27,6,53,0.732895843524768,0.6625,0.964285714285714,0.0357142857142857,0.866935483870968
"212",162,26,6,54,0.729580150861613,0.675,0.964285714285714,0.0357142857142857,0.870967741935484
"24",161,26,7,54,0.728879020152783,0.675,0.958333333333333,0.0416666666666666,0.866935483870968
"18",160,26,8,54,0.728454777061859,0.675,0.952380952380952,0.0476190476190477,0.862903225806452
"17",159,26,9,54,0.696930704602372,0.675,0.946428571428571,0.0535714285714286,0.858870967741935
"294",159,25,9,55,0.679883086958987,0.6875,0.946428571428571,0.0535714285714286,0.862903225806452
"3",158,25,10,55,0.674976086692973,0.6875,0.94047619047619,0.0595238095238095,0.858870967741935
"44",157,25,11,55,0.660958924169896,0.6875,0.93452380952381,0.0654761904761905,0.854838709677419
"273",157,24,11,56,0.657800144593663,0.7,0.93452380952381,0.0654761904761905,0.858870967741935
"21",156,24,12,56,0.600831090305009,0.7,0.928571428571429,0.0714285714285714,0.854838709677419
"280",156,23,12,57,0.594492926245702,0.7125,0.928571428571429,0.0714285714285714,0.858870967741935
"16",155,23,13,57,0.590447773486307,0.7125,0.922619047619048,0.0773809523809523,0.854838709677419
"263",155,22,13,58,0.585551686501648,0.725,0.922619047619048,0.0773809523809523,0.858870967741935
"228",155,21,13,59,0.580186831390519,0.7375,0.922619047619048,0.0773809523809523,0.862903225806452
"37",154,21,14,59,0.577634469609717,0.7375,0.916666666666667,0.0833333333333334,0.858870967741935
"132",153,21,15,59,0.571801033653595,0.7375,0.910714285714286,0.0892857142857143,0.854838709677419
"55",152,21,16,59,0.566051765514836,0.7375,0.904761904761905,0.0952380952380952,0.850806451612903
"232",152,20,16,60,0.558042876359471,0.75,0.904761904761905,0.0952380952380952,0.854838709677419
"22",151,20,17,60,0.553412379569578,0.75,0.898809523809524,0.101190476190476,0.850806451612903
"59",150,20,18,60,0.540729948116191,0.75,0.892857142857143,0.107142857142857,0.846774193548387
"30",149,20,19,60,0.515551696547313,0.75,0.886904761904762,0.113095238095238,0.842741935483871
"229",149,19,19,61,0.496668866411634,0.7625,0.886904761904762,0.113095238095238,0.846774193548387
"46",148,19,20,61,0.479314645689835,0.7625,0.880952380952381,0.119047619047619,0.842741935483871
"254",148,18,20,62,0.474237311439346,0.775,0.880952380952381,0.119047619047619,0.846774193548387
"235",148,17,20,63,0.464044082660056,0.7875,0.880952380952381,0.119047619047619,0.850806451612903
"283",148,16,20,64,0.446600388919217,0.8,0.880952380952381,0.119047619047619,0.854838709677419
"248",148,15,20,65,0.444380269724409,0.8125,0.880952380952381,0.119047619047619,0.858870967741935
"303",148,14,20,66,0.440671019355001,0.825,0.880952380952381,0.119047619047619,0.862903225806452
"19",147,14,21,66,0.438206867988599,0.825,0.875,0.125,0.858870967741935
"7",146,14,22,66,0.43078767977392,0.825,0.869047619047619,0.130952380952381,0.854838709677419
"269",146,13,22,67,0.419647588988855,0.8375,0.869047619047619,0.130952380952381,0.858870967741935
"300",146,12,22,68,0.413585835788494,0.85,0.869047619047619,0.130952380952381,0.862903225806452
"6",145,12,23,68,0.410611305483889,0.85,0.863095238095238,0.136904761904762,0.858870967741935
"291",145,11,23,69,0.405874430115795,0.8625,0.863095238095238,0.136904761904762,0.862903225806452
"250",145,10,23,70,0.403907349534235,0.875,0.863095238095238,0.136904761904762,0.866935483870968
"49",144,10,24,70,0.403414679216292,0.875,0.857142857142857,0.142857142857143,0.862903225806452
