        Rank         Score    Variable
      867.00     1.28998E-01  X789
      868.00     1.28977E-01  X207
      869.00     1.28091E-01  X396
      870.00     1.28067E-01  X112
      871.00     1.27191E-01  X864
      872.00     1.27001E-01  X222
      873.00     1.26851E-01  X237
      874.00     1.26526E-01  X343
      875.00     1.26208E-01  X287
      876.00     1.25557E-01  X28
      877.00     1.24601E-01  X796
      878.00     1.24422E-01  X308
      879.00     1.24320E-01  X987
      880.00     1.23670E-01  X593
      881.00     1.22795E-01  X932
      882.00     1.21083E-01  X661
      883.00     1.20424E-01  X289
      884.00     1.20247E-01  X3
      885.00     1.19590E-01  X148
      886.00     1.19359E-01  X999
      887.00     1.17980E-01  X632
      888.00     1.17848E-01  X31
      889.00     1.17662E-01  X453
      890.00     1.15785E-01  X659
      891.00     1.15498E-01  X882
      892.00     1.15302E-01  X240
      893.00     1.15300E-01  X91
      894.00     1.15223E-01  X551
      895.00     1.14699E-01  X136
      896.00     1.14616E-01  X475
      897.00     1.14302E-01  X123
      898.00     1.14159E-01  X49
      899.00     1.13762E-01  X497
      900.00     1.13719E-01  X938
      901.00     1.12390E-01  X97
      902.00     1.12278E-01  X358
      903.00     1.12273E-01  X172
      904.00     1.12191E-01  X769
      905.00     1.12161E-01  X253
      906.00     1.11786E-01  X443
      907.00     1.11446E-01  X880
      908.00     1.10384E-01  X553
      909.00     1.09884E-01  X862
      910.00     1.09881E-01  X336
      911.00     1.09805E-01  X676
      912.00     1.09703E-01  X855
      913.00     1.09211E-01  X397
      914.00     1.08066E-01  X816
      915.00     1.07640E-01  X541
      916.00     1.07119E-01  X485
      917.00     1.07090E-01  X520
      918.00     1.06854E-01  X425
      919.00     1.06355E-01  X109
      920.00     1.06150E-01  X759
      921.00     1.05980E-01  X10
      922.00     1.05842E-01  X977
      923.00     1.05012E-01  X186
      924.00     1.04810E-01  X965
      925.00     1.04066E-01  X786
      926.00     1.03877E-01  X554
      927.00     1.03095E-01  X259
      928.00     1.02999E-01  X685
      929.00     1.01178E-01  X38
      930.00     1.00129E-01  X731
      931.00     9.98636E-02  X476
      932.00     9.97611E-02  X684
      933.00     9.95467E-02  X836
      934.00     9.79620E-02  X205
      935.00     9.68910E-02  X295
      936.00     9.67655E-02  X637
      937.00     9.62221E-02  X891
      938.00     9.45697E-02  X291
      939.00     9.45051E-02  X766
      940.00     9.43350E-02  X773
      941.00     9.16187E-02  X149
      942.00     9.14499E-02  X941
      943.00     9.10259E-02  X813
      944.00     9.08835E-02  X698
      945.00     9.03745E-02  X44
      946.00     8.99424E-02  X893
      947.00     8.97026E-02  X451
      948.00     8.96111E-02  X366
      949.00     8.83030E-02  X80
      950.00     8.81704E-02  X832
      951.00     8.72459E-02  X578
      952.00     8.69120E-02  X651
      953.00     8.61608E-02  X192
      954.00     8.55020E-02  X867
      955.00     8.54561E-02  X242
      956.00     8.45738E-02  X325
      957.00     8.37841E-02  X414
      958.00     8.36401E-02  X472
      959.00     8.30045E-02  X502
      960.00     8.26111E-02  X903
      961.00     8.04368E-02  X254
      962.00     8.00522E-02  X569
      963.00     7.91478E-02  X401
      964.00     7.89968E-02  X843
      965.00     7.89144E-02  X422
      966.00     7.73877E-02  X324
      967.00     7.64058E-02  X942
      968.00     7.63599E-02  X146
      969.00     7.63020E-02  X105
      970.00     7.53926E-02  X65
      971.00     7.53167E-02  X948
      972.00     7.48652E-02  X605
      973.00     7.27911E-02  X37
      974.00     7.19852E-02  X672
      975.00     7.04435E-02  X262
      976.00     6.98414E-02  X372
      977.00     6.95847E-02  X919
      978.00     6.86167E-02  X220
      979.00     6.82314E-02  X128
      980.00     6.67283E-02  X512
      981.00     6.51608E-02  X717
      982.00     6.45675E-02  X697
      983.00     6.42703E-02  X694
      984.00     6.36115E-02  X646
      985.00     6.32691E-02  X863
      986.00     6.29931E-02  X309
      987.00     6.29113E-02  X852
      988.00     6.15693E-02  X187
      989.00     6.04353E-02  X441
      990.00     6.00317E-02  X212
      991.00     5.96544E-02  X47
      992.00     5.90067E-02  X190
      993.00     5.74701E-02  X362
      994.00     5.35642E-02  X600
      995.00     4.94104E-02  X831
      996.00     4.86805E-02  X758
      997.00     4.74540E-02  X668
      998.00     4.62165E-02  X272
      999.00     4.17049E-02  X872
     1000.00     4.11173E-02  X51
     1001.00     3.93193E-02  X39
     1002.00     3.91492E-02  X438
     1003.00     3.77544E-02  X912
     1004.00     3.53422E-02  X980
     1005.00     3.05873E-02  X152
     1006.00     2.94057E-02  X331
     1007.00     2.84983E-02  X702
     1008.00     2.52754E-02  X232
     1009.00     2.18590E-02  X927
     1010.00     1.91093E-02  X457
     1011.00     1.83046E-02  X62
     1012.00     1.73713E-02  X60
