        Rank         Score    Variable
      196.00     5.56042E-01  X708
      197.00     5.55210E-01  X133
      198.00     5.55051E-01  X811
      199.00     5.52889E-01  X330
      200.00     5.50898E-01  X688
      201.00     5.50671E-01  X400
      202.00     5.50353E-01  X313
      203.00     5.50038E-01  X138
      204.00     5.47319E-01  X997
      205.00     5.45531E-01  X13
      206.00     5.45458E-01  X548
      207.00     5.45203E-01  X814
      208.00     5.45069E-01  X586
      209.00     5.44882E-01  X492
      210.00     5.43827E-01  X878
      211.00     5.43601E-01  X159
      212.00     5.42602E-01  X234
      213.00     5.40509E-01  X728
      214.00     5.37772E-01  X865
      215.00     5.37244E-01  X216
      216.00     5.35227E-01  X680
      217.00     5.34597E-01  X99
      218.00     5.34212E-01  X518
      219.00     5.33523E-01  X608
      220.00     5.33432E-01  X556
      221.00     5.32840E-01  X198
      222.00     5.29185E-01  X316
      223.00     5.28254E-01  X58
      224.00     5.25583E-01  X407
      225.00     5.25520E-01  X884
      226.00     5.25334E-01  X293
      227.00     5.23300E-01  X317
      228.00     5.22253E-01  X968
      229.00     5.18876E-01  X5
      230.00     5.17464E-01  X533
      231.00     5.15323E-01  X888
      232.00     5.14922E-01  X818
      233.00     5.13409E-01  X59
      234.00     5.13168E-01  X248
      235.00     5.10016E-01  X755
      236.00     5.09004E-01  X194
      237.00     5.06872E-01  X925
      238.00     5.06005E-01  X736
      239.00     5.04069E-01  X104
      240.00     5.03754E-01  X573
      241.00     5.03438E-01  X423
      242.00     5.01787E-01  X622
      243.00     5.00931E-01  X481
      244.00     4.96961E-01  X170
      245.00     4.96639E-01  X19
      246.00     4.94287E-01  X114
      247.00     4.92444E-01  X650
      248.00     4.88008E-01  X776
      249.00     4.86069E-01  X18
      250.00     4.82965E-01  X787
      251.00     4.82795E-01  X452
      252.00     4.82536E-01  X531
      253.00     4.82504E-01  X339
      254.00     4.80950E-01  X257
      255.00     4.80415E-01  X87
      256.00     4.77440E-01  X597
      257.00     4.73589E-01  X391
      258.00     4.73357E-01  X284
      259.00     4.71557E-01  X14
      260.00     4.71365E-01  X976
      261.00     4.67141E-01  X839
      262.00     4.67108E-01  X763
      263.00     4.67065E-01  X345
      264.00     4.66644E-01  X395
      265.00     4.66126E-01  X445
      266.00     4.65939E-01  X721
      267.00     4.65378E-01  X486
      268.00     4.65172E-01  X433
      269.00     4.64958E-01  X631
      270.00     4.64638E-01  X540
      271.00     4.64451E-01  X753
      272.00     4.63310E-01  X754
      273.00     4.59484E-01  X829
      274.00     4.59408E-01  X669
      275.00     4.58984E-01  X824
      276.00     4.58582E-01  X225
      277.00     4.58533E-01  X691
      278.00     4.58419E-01  X781
      279.00     4.57871E-01  X726
      280.00     4.57378E-01  X296
      281.00     4.55944E-01  X827
      282.00     4.53937E-01  X711
      283.00     4.53642E-01  X144
      284.00     4.51274E-01  X742
      285.00     4.50745E-01  X770
      286.00     4.50739E-01  X217
      287.00     4.50446E-01  X392
      288.00     4.49562E-01  X241
      289.00     4.49399E-01  X275
      290.00     4.49097E-01  X252
      291.00     4.48529E-01  X168
      292.00     4.47988E-01  X371
      293.00     4.46024E-01  X838
      294.00     4.44640E-01  X455
      295.00     4.43872E-01  X69
      296.00     4.43777E-01  X52
      297.00     4.43313E-01  X131
      298.00     4.42669E-01  X125
      299.00     4.39290E-01  X34
      300.00     4.38797E-01  X478
      301.00     4.38715E-01  X901
      302.00     4.37933E-01  X238
      303.00     4.37605E-01  X916
      304.00     4.34047E-01  X50
      305.00     4.33700E-01  X643
      306.00     4.32690E-01  X297
      307.00     4.32311E-01  X27
      308.00     4.30962E-01  X226
      309.00     4.30638E-01  X583
      310.00     4.29965E-01  X346
      311.00     4.29919E-01  X449
      312.00     4.28834E-01  X214
      313.00     4.26736E-01  X798
      314.00     4.26447E-01  X936
      315.00     4.26305E-01  X634
      316.00     4.24744E-01  X723
      317.00     4.21807E-01  X130
      318.00     4.21110E-01  X924
      319.00     4.20995E-01  X81
      320.00     4.20030E-01  X580
      321.00     4.19876E-01  X871
      322.00     4.18648E-01  X718
      323.00     4.18507E-01  X689
      324.00     4.17447E-01  X173
      325.00     4.17067E-01  X892
      326.00     4.13375E-01  X2
      327.00     4.11993E-01  X911
      328.00     4.11450E-01  X992
      329.00     4.10628E-01  X935
      330.00     4.09455E-01  X618
      331.00     4.08721E-01  X985
      332.00     4.07384E-01  X552
      333.00     4.07005E-01  X180
      334.00     4.05878E-01  X564
